R= 1.000000e+00 n= 100 m= 100 ds= 1.000000e-02 law= 6
        r                  z(r)
   0.510000000000    0.001580561855
   0.520000000000    0.001543122011
   0.530000000000    0.001506569441
   0.540000000000    0.001470856763
   0.550000000000    0.001435939231
   0.560000000000    0.001401774497
   0.570000000000    0.001368322394
   0.580000000000    0.001335544731
   0.590000000000    0.001303405113
   0.600000000000    0.001271868764
   0.610000000000    0.001240902368
   0.620000000000    0.001210473910
   0.630000000000    0.001180552539
   0.640000000000    0.001151108422
   0.650000000000    0.001122112609
   0.660000000000    0.001093536902
   0.670000000000    0.001065353723
   0.680000000000    0.001037535979
   0.690000000000    0.001010056929
   0.700000000000    0.000982890039
   0.710000000000    0.000956008839
   0.720000000000    0.000929386759
   0.730000000000    0.000902996960
   0.740000000000    0.000876812142
   0.750000000000    0.000850804331
   0.760000000000    0.000824944630
   0.770000000000    0.000799202945
   0.780000000000    0.000773547646
   0.790000000000    0.000747945177
   0.800000000000    0.000722359577
   0.810000000000    0.000696751900
   0.820000000000    0.000671079489
   0.830000000000    0.000645295066
   0.840000000000    0.000619345559
   0.850000000000    0.000593170588
   0.860000000000    0.000566700439
   0.870000000000    0.000539853338
   0.880000000000    0.000512531664
   0.890000000000    0.000484616567
   0.900000000000    0.000455960066
   0.910000000000    0.000426373043
   0.920000000000    0.000395606138
   0.930000000000    0.000363317685
   0.940000000000    0.000329015999
   0.950000000000    0.000291945432
   0.960000000000    0.000250830294
   0.970000000000    0.000203172684
   0.980000000000    0.000142488666
   0.990000000000    0.000000000000
